"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_114";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"3588"
"Y17W25";"Y17M06";"LOAN2017_114";"SIMPL'ASSUR";"Minimum";"CLASSIQUE";"2017-06-25";"2195"
"Y17W25";"Y17M06";"LOAN2017_114";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-25";"3388"
"Y17W25";"Y17M06";"LOAN2017_114";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-25";"2206"
"Y17W25";"Y17M06";"LOAN2017_114";"SIMPL'ASSUR";"Formule Optimum";"CLASSIQUE";"2017-06-25";"3500"
"Y17W25";"Y17M06";"LOAN2017_116";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"12614"
"Y17W25";"Y17M06";"LOAN2017_114";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-25";"2248"
"Y17W25";"Y17M06";"LOAN2017_114";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-25";"2692"
"Y17W25";"Y17M06";"LOAN2017_114";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-25";"3571"
"Y17W25";"Y17M06";"LOAN2017_113";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"6447"
"Y17W25";"Y17M06";"LOAN2017_113";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"3114"
"Y17W25";"Y17M06";"LOAN2017_114";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-25";"1898"
"Y17W25";"Y17M06";"LOAN2017_114";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"2926"
"Y17W25";"Y17M06";"LOAN2017_115";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"9833"
"Y17W25";"Y17M06";"LOAN2017_115";"SIMPL'ASSUR";"Minimum";"CLASSIQUE";"2017-06-24";"10349"
"Y17W25";"Y17M06";"LOAN2017_114";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"1554"
"Y17W25";"Y17M06";"LOAN2017_115";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"11569"
"Y17W25";"Y17M06";"LOAN2017_115";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"11718"
"Y17W25";"Y17M06";"LOAN2017_115";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"12189"
"Y17W25";"Y17M06";"LOAN2017_115";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"13931"
"Y17W25";"Y17M06";"LOAN2017_115";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"9355"
